 -0.938  -1.170  -0.873  -0.773  -0.493  -0.791  -1.125  -1.208  -1.770  -2.104  -2.104
 -0.489  -0.778  -0.626  -0.382  -0.092  -0.425  -0.677  -0.720  -1.323  -1.756  -1.616
 -0.091  -0.140  -0.034   0.154   0.183  -0.190  -0.300  -0.301  -0.824  -1.159  -1.114
  0.205   0.646   0.651   0.676   0.373   0.058   0.135   0.075  -0.284  -0.393  -0.451
  0.516   1.316   1.398   1.116   0.561   0.289   0.512   0.491   0.298   0.358   0.196
  0.726   1.619   1.783   1.392   0.870   0.740   1.009   0.988   0.822   1.046   0.880
  0.851   1.746   1.894   1.641   1.463   1.360   1.530   1.469   1.443   1.491   1.284
  0.913   1.588   1.894   1.870   2.067   1.965   2.092   1.989   1.827   1.807   1.718
  0.836   1.381   1.715   2.018   2.550   2.608   2.573   2.469   2.262   2.139   2.055
  0.893   1.294   1.668   2.083   2.786   2.970   2.909   2.805   2.638   2.472   2.389
  0.815   1.251   1.626   2.083   2.786   2.879   2.938   2.855   2.810   2.684   2.682
  0.570   1.229   1.382   1.919   2.224   2.427   2.492   2.571   2.772   2.768   2.690
 -0.012   0.040  -0.010  -0.030  -0.041  -0.012  -0.010  -0.028   0.004  -0.019  -0.044
 -0.022   0.050   0.025  -0.019  -0.042  -0.015  -0.020  -0.041  -0.006  -0.009  -0.057
 -0.017   0.038   0.017  -0.036  -0.027   0.003  -0.025  -0.050  -0.020  -0.018  -0.047
  0.009   0.000  -0.000  -0.040  -0.005   0.008  -0.047  -0.055  -0.038  -0.042  -0.050
  0.022  -0.029  -0.035  -0.038   0.018   0.027  -0.053  -0.063  -0.060  -0.052  -0.039
  0.030  -0.029  -0.042  -0.023   0.031   0.017  -0.067  -0.078  -0.065  -0.070  -0.056
  0.020  -0.039  -0.039  -0.018  -0.003  -0.007  -0.071  -0.079  -0.089  -0.068  -0.052
  0.002  -0.028  -0.039  -0.024  -0.039  -0.018  -0.079  -0.083  -0.071  -0.057  -0.074
  0.008  -0.011  -0.013  -0.024  -0.065  -0.057  -0.080  -0.084  -0.068  -0.058  -0.076
 -0.009  -0.004  -0.009  -0.017  -0.072  -0.074  -0.082  -0.086  -0.073  -0.060  -0.078
 -0.003  -0.000  -0.005  -0.017  -0.072  -0.056  -0.073  -0.066  -0.062  -0.052  -0.076
  0.016  -0.011   0.014  -0.029  -0.030  -0.045  -0.038  -0.044  -0.059  -0.059  -0.053
