 -1.798   0.597  -0.999  -0.401   0.399  -0.600  -0.401   0.599   0.999  -0.200  -0.399
 -1.600   0.600  -0.600  -0.600   0.200  -0.400  -0.200   0.600   0.800  -0.000  -0.400
 -1.600   0.200  -0.600  -0.400   0.200  -0.200  -0.200   0.400   0.800  -0.200  -0.400
 -1.400   0.200  -0.400  -0.400   0.000  -0.200  -0.200   0.400   0.600  -0.000  -0.200
 -1.200  -0.200  -0.200  -0.200   0.000  -0.200  -0.400   0.400   0.400  -0.000  -0.000
 -1.200  -0.600  -0.000  -0.200   0.000  -0.000  -0.200   0.200   0.400   0.000   0.000
 -1.200  -0.800   0.200  -0.200  -0.200   0.200  -0.200   0.000   0.200   0.000   0.000
 -1.000  -1.200   0.600  -0.200  -0.400   0.200  -0.200  -0.200   0.000  -0.000   0.200
 -1.000  -1.600   0.600  -0.000  -0.400   0.400  -0.200  -0.400  -0.200   0.000   0.200
 -1.000  -1.400   0.600   0.000  -0.400   0.200  -0.200  -0.400  -0.200   0.000   0.200
 -1.400  -1.200   0.001  -0.200  -0.400   0.000  -0.200  -0.200  -0.200   0.200   0.200
 -2.199  -0.001  -0.999  -0.400  -0.200  -0.999  -0.400   0.200   0.200   0.200   0.000
  0.071   0.031   0.031   0.081   0.101   0.171   0.121   0.171   0.091   0.031   0.041
  0.100   0.070   0.070   0.130   0.150   0.220   0.170   0.210   0.140   0.080   0.100
  0.140   0.130   0.130   0.180   0.210   0.270   0.230   0.260   0.200   0.150   0.160
  0.170   0.190   0.180   0.260   0.280   0.330   0.290   0.320   0.270   0.240   0.250
  0.220   0.270   0.250   0.330   0.360   0.410   0.380   0.400   0.360   0.340   0.340
  0.280   0.350   0.340   0.430   0.460   0.500   0.470   0.490   0.460   0.460   0.460
  0.340   0.440   0.450   0.530   0.570   0.610   0.590   0.600   0.590   0.580   0.580
  0.410   0.540   0.550   0.650   0.700   0.730   0.710   0.710   0.720   0.740   0.730
  0.490   0.640   0.650   0.760   0.820   0.840   0.850   0.840   0.870   0.900   0.890
  0.570   0.710   0.750   0.860   0.900   0.950   0.970   0.980   1.010   1.040   1.030
  0.630   0.740   0.800   0.890   0.940   1.000   1.050   1.090   1.110   1.150   1.130
  0.670   0.640   0.750   0.820   0.850   0.950   1.040   1.150   1.150   1.150   1.140
