 0.199810  0.399810  0.399786  0.200012  0.200012  0.200012  0.399810  0.399822  0.199988  0.400000  0.599798
 0.399786  0.200203  0.200203  0.200012  0.399810  0.200012  0.200191  0.399822  0.399798  0.400000  0.599798
 0.200214  0.200203  0.399810  0.200000  0.200203  0.200000  0.200191  0.200203  0.399798  0.400000  0.599798
 0.399798  0.200000  0.200191  0.200000  0.200203  0.200000  0.200000  0.399822  0.200203  0.400000  0.400179
 0.200191  0.399798  0.200012  0.200024  0.200024  0.399786  0.200000  0.200191  0.399810  0.400000  0.400179
 0.200012  0.200214  0.199988  0.199988  0.200000  0.200203  0.200000  0.399798  0.400012  0.399988  0.400179
 0.199988  0.199988  0.200000  0.000191  0.200000  0.200000  0.200000  0.400000  0.200191  0.399988  0.400179
 0.200000  0.200012  0.200024  0.199798  0.200000  0.200012  0.200000  0.200203  0.200012  0.400000  0.399988
 0.200024  0.199988  0.200000  0.200000  0.200000  0.200000  0.199988  0.399798  0.200000  0.400012  0.599798
 0.199976  0.000202  0.000203  0.000214  0.199976  0.000191  0.200012  0.400012  0.200000  0.399988  0.400203
 0.199988  0.199798  0.199798  0.199798  0.200000  0.199798  0.199988  0.200203  0.399810  0.200203  0.599810
 0.200000  0.200024  0.200000  0.200000  0.200000  0.200012  0.200000  0.200000  0.399988  0.399810  0.200405
 1.349650  1.339810  1.339790  1.329800  1.329800  1.329800  1.359770  1.379791  1.409800  1.419821  1.469790
 1.340008  1.330009  1.330009  1.329800  1.320010  1.329800  1.350008  1.379791  1.400009  1.419821  1.469790
 1.330011  1.330009  1.320010  1.310020  1.310010  1.310020  1.350008  1.370010  1.400009  1.419821  1.469790
 1.320010  1.310019  1.310010  1.310020  1.310010  1.310020  1.330020  1.360010  1.390010  1.419821  1.460010
 1.310010  1.300010  1.290021  1.290021  1.290021  1.300009  1.330020  1.350008  1.380011  1.419821  1.460010
 1.290021  1.290011  1.270020  1.270020  1.270020  1.290010  1.310020  1.340009  1.360020  1.400019  1.460010
 1.270020  1.270020  1.250020  1.260010  1.250020  1.270020  1.290020  1.320020  1.350009  1.400019  1.460010
 1.250019  1.230040  1.230021  1.230030  1.230020  1.250020  1.270020  1.310010  1.330020  1.380021  1.440019
 1.230021  1.210020  1.210020  1.210020  1.210020  1.230020  1.250019  1.280030  1.310021  1.360020  1.430010
 1.190040  1.180031  1.180031  1.180031  1.190019  1.200030  1.230020  1.260020  1.290021  1.340019  1.400030
 1.170020  1.150030  1.150030  1.150030  1.150039  1.170030  1.190040  1.230029  1.260030  1.310030  1.370030
 1.150019  1.130021  1.130020  1.130020  1.130020  1.130041  1.170020  1.210020  1.240019  1.260049  1.310060
