  0.937   1.875   0.003   1.248   0.313  -4.062   0.928   3.118   1.871   5.304   5.934
  1.250   1.251  -0.000   0.938   0.312  -3.126   0.928   3.118   2.187   4.688   5.313
  0.938   1.251   0.312   1.250   0.937  -2.501   1.250   2.813   2.188   4.063   4.688
  0.938   0.626   0.312   1.562   0.938  -1.563   1.250   2.813   1.875   3.126   3.751
  0.313   0.313   0.625   1.250   1.250  -0.314   1.562   2.500   1.875   2.501   2.813
  0.313  -0.312   0.625   1.250   1.562   1.248   1.562   2.500   1.875   1.563   1.876
  0.313  -0.625   0.937   1.250   1.875   2.187   1.562   2.188   2.187   0.626   0.626
  0.312  -0.937   1.250   1.562   1.875   3.436   1.250   1.563   1.875  -0.312  -0.624
  0.000  -1.250   0.938   1.562   1.875   3.436   1.250   0.938   1.251  -1.249  -1.562
  0.312  -0.626   0.938   1.250   1.251   2.813   0.313   0.313   0.313  -1.250  -1.250
  0.937   0.312   0.625   1.250  -0.311  -0.622  -1.248  -0.936  -0.936  -0.313  -0.001
  2.186   3.122  -0.624   0.938  -3.122  -8.430  -4.060  -2.498  -3.435   2.497   3.434
  0.263   0.600   0.825   0.825   0.813   0.713   0.663   0.650   0.575   0.512   0.487
  0.275   0.600   0.800   0.788   0.788   0.700   0.663   0.650   0.587   0.537   0.512
  0.287   0.600   0.763   0.750   0.763   0.700   0.650   0.662   0.612   0.562   0.562
  0.312   0.600   0.738   0.713   0.738   0.688   0.650   0.662   0.625   0.600   0.600
  0.337   0.612   0.700   0.675   0.700   0.687   0.638   0.675   0.650   0.625   0.637
  0.362   0.613   0.675   0.625   0.663   0.675   0.638   0.675   0.675   0.662   0.700
  0.387   0.600   0.638   0.575   0.625   0.663   0.638   0.687   0.687   0.700   0.750
  0.437   0.612   0.600   0.538   0.600   0.662   0.625   0.687   0.700   0.737   0.775
  0.475   0.600   0.588   0.513   0.600   0.662   0.625   0.663   0.700   0.725   0.787
  0.512   0.600   0.588   0.550   0.625   0.663   0.613   0.638   0.663   0.675   0.725
  0.562   0.588   0.650   0.675   0.737   0.675   0.625   0.563   0.563   0.538   0.550
  0.587   0.550   0.825   0.962   0.975   0.712   0.637   0.425   0.363   0.225   0.163
